#,references,amount,manufacturer,partNumber
1,C1 C2 C5 C6 C7 C8 C9 C10,8,TDK,CGA3E2X7R1E104K080AA
2,C30 C31 C32 C33 C34 C35 C36 C37,8,TDK,CGA3E1X7R1E105K080AC
3,C11 C12 C13 C14 C15 C16 C17 C18,8,Samsung Electro-Mechanics,CL21B475KPFNFNE
4,C25 C26 C27,3,Samsung Electro-Mechanics,CL21B106KPQNNWE
5,CONN6,1,TE Connectivity,2-1734839-4
6,CONN1,1,Molex,217179-0001
7,CONN5,1,Molex,73391-0080
8,CONN2,1,KeyStone,1015
9,CONN3,1,Sparkfun - JST,SM04B-SRSS-TB(LF)(DN)(P)
10,CONN7,1,GCT,BC075-08-A-L-A
11,D1 D2 D3,3,MSS1P3HM3_A/H,MSS1P3HM3_A/H
12,IC4,1,Texas Instruments,BQ25504RGTR
13,IC8 IC9 IC10 IC11,4,ROHM,BR24G1MFVT-5AE2
14,IC2,1,Silicon Labs,CP2102N-A02-GQFN24R
15,IC12,1,MICROCHIP,MCP73123T-22SI/MF
16,IC1,1,Seeed Technology,114993121
17,IC3,1,STMicroelectronics,USBLC6-2SC6
18,L2,1,TDK,VLS3010CX-220M-1
19,L1,1,TDK,VLS3010CX-470M-1
20,Q1,1,Panjit,PJC7400_R1_00001
21,Q2 Q3 Q4,3,Vishay Siliconix,SI2367DS-T1-GE3
22,R23,1,YAGEO,RC0603FR-7W330RL
23,R3,1,YAGEO,SR0603JR-071KL
24,R5 R6 R7 R8 R9 R10,6,YAGEO,AC0603DR-075K1L
25,R12,1,Bourns,CR0603-JW-103ELF
26,R13,1,YAGEO,AC0603FR-0722K1L
27,R15,1,YAGEO,AC0603FR-0747K5L
28,R17 R18,2,YAGEO,AC0603JR-07330KL
29,R2,1,YAGEO,RC0603FR-071M69L
30,R14 R20,2,YAGEO,RC0603FR-074M75L
31,R11 R21,2,Vishay - Dale,CRCW06035M36FKEA
32,R19,1,YAGEO,RC0603FR-078M45L
33,R1,1,Panasonic,ERJ-3RQJ2R2V
34,SW1,1,Wurth Electronics,434331045822
35,SW2,1,Alps Alpine,SLLB510100
